Category_code,Category_name,ACM_subject_classes,ACM_subject_names
cs.NI,Networking and Internet Architecture,"C.2.1,C.2.2,C.2.3,C.2.4,C.2.5,C.2.6",Network Architecture and Design; Network Protocols; Network Operations; Distributed Systems; Local and Wide-Area Networks; Internetworking
cs.OH,Other Computer Science,M.5,Miscellaneous
cs.OS,Operating Systems,"D.4.1,D.4.2,D.4.3,D.4.4,D.4.5,D.4.7,D.4.9",Process Management; Storage Management; File Systems Management; Communications Management; Reliability; Organization and Design; Systems Programs and Utilities
cs.PF,Performance,"D.4.8,K.6.2",Operating Systems Performance; Installation Management
cs.PL,Programming Languages,"D.1,D.3",Programming Techniques; Programming languages
cs.RO,Robotics,I.2.9,Robotics
cs.SC,Symbolic Computation,I.1,Symbolic and Algebraic Manipulation
cs.SD,Sound,"H.5.5,H.1.2,H.5.1,H.5.2,I.2.7,I.5.4,I.6.3,J.5,K.4.2",Sound and Music Computing; User/Machine Systems; Multimedia Information Systems; User Interfaces; Natural Language Processing; Applications; Arts and Humanities; Social Issues
cs.SE,Software Engineering,"D.2.1,D.2.2,D.2.3,D.2.5,D.2.6,D.2.7,D.2.8,D.2.9,D.2.10,D.2.11,D.2.12,D.2.13","Requirements or Specifications; Design Tools and Techniques; Coding Tools and Techniques; Testing and Debugging; Programming Environments; Distribution, Maintenance, and Enhancement; Metrics; Management; Design; Software Architectures; Interoperability; Reusable Software "
cs.SI,Social and Information Networks,"F.2,G.2,G.3,H.2,I.2,H.3,H.4,H.5,J.1,J.2,J.3,J.4,J.5,J.6,J.7",Analysis of Algorithms and Program Complexity; Discrete Mathematics; Probability and Statistics; Database Management; Artificial Intelligence; Information Storage and Retrieval; Information Systems Applications; Information Interfaces and Presentation; Administrative Data Processing; Physical Sciences and Engineering; Life and Medical Sciences; Social and Behavioral Sciences; Arts and Humanities; Computer aided Engineering; Computer in Other Systems
cs.SY,Systems and Control,"M.4,M.4.1,M.4.2,M.4.3,M.4.4,M.4.5,M.4.6,M.4.7,M.4.8,M.4.9",Automotive and aerospace control systems; network control; Biological systems; Multiagent and cooperative control; Robotics; Reinforcement learning; Sensor networks; Control of cyber-physical and energy-related systems; Control of computing systems
